mach,alpha_deg,beta_deg,flap_deg,CL,CD,Cl_roll,Cm,Cn_yaw
2,40,-5,15,2.0230020157325166,1.5791521347668063,3.7230086806340209e-17,1.1546222953340297,0.076567011769524587
2,40,0,-15,2.3697545568535183,2.3186475470085139,3.7230086806340209e-17,3.0746089024079146,2.4820057870893473e-17
2,40,0,-10,2.3577622197351928,2.1621440085377786,2.4820057870893473e-17,2.7550856616492596,2.3268804253962631e-17
2,40,0,-5,2.3207959028819451,2.0121209419360051,3.1025072338616841e-17,2.4147653332125771,2.3268804253962631e-17
2,40,0,0,2.2628963427191029,1.8746194593576511,4.3435101274063577e-17,2.0699947131212184,2.5198781898464479e-17
2,40,0,5,2.1894035358914139,1.7544454305439898,3.7230086806340209e-17,1.7366324830261077,2.4820057870893473e-17
2,40,0,10,2.1065822163287602,1.6548767103257196,3.7230086806340209e-17,1.429065493838942,2.4820057870893473e-17
2,40,0,15,2.0211853626234433,1.5774771400474759,3.4127579572478525e-17,1.1593294546349122,2.4044431062428052e-17
2,40,5,-15,2.3689234353170496,2.3146925197865444,4.9640115741786945e-17,3.0553530438964294,-0.076567011769524726
2,40,5,-10,2.357022193472456,2.1593778015212655,4.3435101274063577e-17,2.7382569411337454,-0.076567011769524712
2,40,5,-5,2.3203366773271425,2.0104943286603341,4.3435101274063577e-17,2.4005217279393518,-0.076567011769524712
2,40,5,0,2.2628769293735367,1.8740373243242368,4.3435101274063577e-17,2.0583700280552741,-0.076567011769524712
2,40,5,5,2.1899423829824243,1.7547761522742036,4.9640115741786945e-17,1.7275400586281666,-0.076567011769524712
2,40,5,10,2.107750184391096,1.6559637683508404,4.3435101274063577e-17,1.4223093862735121,-0.076567011769524712
2,40,5,15,2.0230020157325161,1.579152134766806,4.3435101274063577e-17,1.1546222953340304,-0.076567011769524712
2,40,10,-15,2.3647674565399184,2.3014784135158237,4.9640115741786945e-17,2.9975562799010085,-0.15413331333271013
2,40,10,-10,2.3531367326327204,2.1496940341665383,4.9640115741786945e-17,2.6876678437664268,-0.15413331333271013
2,40,10,-5,2.3172850866237833,2.0041947165489735,4.9640115741786945e-17,2.3576094288803922,-0.15413331333271013
2,40,10,0,2.2611314118264714,1.8708394109967923,5.5845130209510313e-17,2.023234915052897,-0.15413331333271013
2,40,10,5,2.1898546842842159,1.7542890725468074,5.5845130209510313e-17,1.6999247861707873,-0.15413331333271013
2,40,10,10,2.1095307330845028,1.6577227166125712,5.5845130209510313e-17,1.4016320765089449,-0.15413331333271013
2,40,10,15,2.0267089095992348,1.5826570289522164,5.2742622975648629e-17,1.1400295741069075,-0.15413331333271013
2,50,-10,-15,2.6674955825507212,3.6142360159534817,3.7230086806340209e-17,3.7113606938488695,0.16767444500093576
2,50,-10,-10,2.7097355517596902,3.4703487326587141,6.2050144677233681e-17,3.4467158018880539,0.16767444500093576
2,50,-10,-5,2.7247062637489177,3.3189678325072922,4.9640115741786945e-17,3.1397312620482722,0.16767444500093576
2,50,-10,0,2.7130755398417192,3.1671834531580063,3.1025072338616841e-17,2.805364048467359,0.16767444500093576
2,50,-10,5,2.677223893832783,3.0216841355404425,4.3435101274063577e-17,2.4594523567481485,0.16767444500093576
2,50,-10,10,2.6210702190354729,2.888328829988263,5.5845130209510313e-17,2.1177257242477658,0.16767444500093576
2,50,-10,15,2.5497934914932183,2.7717784915382784,4.0332594040201893e-17,1.7948305162221327,0.16767444500093576
2,50,-5,-15,2.6849849414762925,3.6491140384180891,6.2050144677233681e-17,3.7867818922901919,0.084286585401103647
2,50,-5,-10,2.7282073662432582,3.5018800940379706,3.7230086806340209e-17,3.5159816491330651,0.084286585401103647
2,50,-5,-5,2.7435262806454239,3.346978239456099,4.9640115741786945e-17,3.2018569841219624,0.084286585401103647
2,50,-5,0,2.731625038800829,3.1916635211908191,4.9640115741786945e-17,2.8597127542802321,0.084286585401103647
2,50,-5,5,2.6949395226555155,3.0427800483298877,5.5845130209510313e-17,2.5057555343452078,0.084286585401103647
2,50,-5,10,2.6374797747019088,2.9063230439937895,5.5845130209510313e-17,2.1560807135363826,0.084286585401103647
2,50,-5,15,2.5645452283107963,2.7870618719437559,5.5845130209510313e-17,1.8256753155717826,0.084286585401103647
2,50,0,-15,2.6905154030424501,3.6604591822083461,7.4460173612680418e-17,3.8120818614505421,-1.1789527488674399e-16
2,50,0,-10,2.7340686637563612,3.5120982700175598,6.2050144677233681e-17,3.5392088411329303,-1.1169026041902063e-16
2,50,0,-5,2.7495048332079555,3.3560107553987897,6.2050144677233681e-17,3.2226797823015376,-1.1479276765288231e-16
